,Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,Winner
4254,36,1963,Music,MUSIC (Original Song),MUSIC (Song),Mondo Cane,tt0057318,Music by Riz Ortolani and Nino Oliviero; Lyrics by Norman Newell,"Riz Ortolani, Nino Oliviero, Norman Newell",
4255,36,1963,Music,MUSIC (Original Song),MUSIC (Song),55 Days at Peking,tt0056800,Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster,"Dimitri Tiomkin, Paul Francis Webster",
4256,36,1963,Title,BEST PICTURE,BEST PICTURE,America America,tt0056825,"Elia Kazan, Producer",Elia Kazan,
4257,36,1963,Title,BEST PICTURE,BEST PICTURE,Cleopatra,tt0056937,"Walter Wanger, Producer",Walter Wanger,
4258,36,1963,Title,BEST PICTURE,BEST PICTURE,How the West Was Won,tt0056085,"Bernard Smith, Producer",Bernard Smith,
4259,36,1963,Title,BEST PICTURE,BEST PICTURE,Lilies of the Field,tt0057251,"Ralph Nelson, Producer",Ralph Nelson,
4260,36,1963,Title,BEST PICTURE,BEST PICTURE,Tom Jones,tt0057590,"Tony Richardson, Producer",Tony Richardson,True
4271,36,1963,Production,SOUND MIXING,SOUND,Bye Bye Birdie,tt0056891,"Columbia Studio Sound Department, Charles Rice, Sound Director","Columbia, Charles Rice",
4272,36,1963,Production,SOUND MIXING,SOUND,"Captain Newman, M.D.",tt0056903,"Universal City Studio Sound Department, Waldon O. Watson, Sound Director","Universal City, Waldon O. Watson",
4273,36,1963,Production,SOUND MIXING,SOUND,Cleopatra,tt0056937,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director","20th Century-Fox, James P. Corcoran, Todd-AO, Fred Hynes",
4274,36,1963,Production,SOUND MIXING,SOUND,How the West Was Won,tt0056085,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director","Metro-Goldwyn-Mayer, Franklin E. Milton",True
4275,36,1963,Production,SOUND MIXING,SOUND,"It's a Mad, Mad, Mad, Mad World",tt0057193,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director","Samuel Goldwyn, Gordon E. Sawyer",
4276,36,1963,Production,SOUND EDITING,SOUND EFFECTS,A Gathering of Eagles,tt0057090,Robert L. Bratton,Robert L. Bratton,
